workerId;assignmentId;hitId;curtime;OSName;browserName;country;IP;trialn;shown;response;feedback;responseTime;fbcondition;phase;score
A3E63RE3CI5ZH5;2JM8P9Y38TWWHWG1S99M6JTD9KZIZH;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404856;Windows;Chrome-23;United States;75.145.245.85;1;341;105;341;9582;-1;-1;0
A3E63RE3CI5ZH5;2JM8P9Y38TWWHWG1S99M6JTD9KZIZH;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404862;Windows;Chrome-23;United States;75.145.245.85;2;498;105;498;3516;-1;-1;0
A85EHBX1CKMI2;2SY2NJQ2172ZTN3Q4MBLIVEENYVPX2;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404868;Mac;Firefox-16;United States;24.13.106.19;1;74;0;74;7790;-1;-1;0
A3E63RE3CI5ZH5;2JM8P9Y38TWWHWG1S99M6JTD9KZIZH;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404868;Windows;Chrome-23;United States;75.145.245.85;3;105;200;105;3251;-1;-1;2
A85EHBX1CKMI2;2SY2NJQ2172ZTN3Q4MBLIVEENYVPX2;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404873;Mac;Firefox-16;United States;24.13.106.19;2;22;14;22;3304;-1;-1;4
A3PN2086LSLDV9;2LW9F9SSSHX1LX1WQ4WHBF8MXLHUY9;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404873;;;United States;72.73.110.253;1;69;45;69;;0;-1;0
A3E63RE3CI5ZH5;2JM8P9Y38TWWHWG1S99M6JTD9KZIZH;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404875;Windows;Chrome-23;United States;75.145.245.85;4;43;50;43;3409;-1;-1;11
A3PN2086LSLDV9;2LW9F9SSSHX1LX1WQ4WHBF8MXLHUY9;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404880;;;United States;72.73.110.253;2;82;37;82;;0;-1;0
A85EHBX1CKMI2;2SY2NJQ2172ZTN3Q4MBLIVEENYVPX2;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404880;Mac;Firefox-16;United States;24.13.106.19;3;33;36;33;4511;-1;-1;14
A3E63RE3CI5ZH5;2JM8P9Y38TWWHWG1S99M6JTD9KZIZH;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404880;Windows;Chrome-23;United States;75.145.245.85;5;50;55;50;2770;-1;-1;21
A3PN2086LSLDV9;2LW9F9SSSHX1LX1WQ4WHBF8MXLHUY9;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404885;;;United States;72.73.110.253;3;341;69;341;;0;-1;0
A3E63RE3CI5ZH5;2JM8P9Y38TWWHWG1S99M6JTD9KZIZH;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404885;Windows;Chrome-23;United States;75.145.245.85;6;136;103;136;2958;-1;-1;28
A85EHBX1CKMI2;2SY2NJQ2172ZTN3Q4MBLIVEENYVPX2;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404886;Mac;Firefox-16;United States;24.13.106.19;4;68;45;68;3586;-1;-1;19
A3PN2086LSLDV9;2LW9F9SSSHX1LX1WQ4WHBF8MXLHUY9;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404888;;;United States;72.73.110.253;4;130;83;130;;0;-1;0
ALEW8U625N446;2JJNDWIOV1S7C1GMRRL19YD21K1IXK;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404889;Windows;Firefox-14;Iceland;101.61.112.153;1;102;100;102;11738;-1;-1;10
A2N2KQXUPLNDWI;25CCJ011K2743LMTO7X1EN49NU7AC5;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404890;Windows;Firefox-16;United States;24.173.74.242;1;23;100;23;9969;-1;-1;0
A2QLSHXNCHBRN4;2MGK2JE1M7PK4NY0UHFZGC07EWPPW9;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404891;Windows;Firefox-16;United States;24.60.89.121;1;34;20;34;3495;-1;-1;3
A3E63RE3CI5ZH5;2JM8P9Y38TWWHWG1S99M6JTD9KZIZH;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404891;Windows;Chrome-23;United States;75.145.245.85;7;468;450;468;3065;-1;-1;38
A3PN2086LSLDV9;2LW9F9SSSHX1LX1WQ4WHBF8MXLHUY9;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404891;;;United States;72.73.110.253;5;173;32;173;;0;-1;0
A85EHBX1CKMI2;2SY2NJQ2172ZTN3Q4MBLIVEENYVPX2;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404893;Mac;Firefox-16;United States;24.13.106.19;5;189;134;189;4217;-1;-1;25
A2WB6PTJR698VP;23EOFXRDS4ICLSBML8AFS11DVFNUX3;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404896;Windows;Chrome-23;Macedonia, The Former Yugoslav Republic A3PN2086LSLDV9;2LW9F9SSSHX1LX1WQ4WHBF8MXLHUY9;2JMSMEZZ2MIK61M3600Y98TXP575MV;1352404896;;;United States;72.73.110.253;6;19;346;19;;0;-1;0
